customer_id,name,city,customer_segment,customer_segment_name,salary_delay_days,savings_wow_delta_pct,atm_withdrawal_count_7d,atm_withdrawal_amount_7d,discretionary_spend_7d,lending_upi_count_7d,lending_upi_amount_7d,failed_autodebit_count,utility_payment_delay_days,gambling_spend_7d,credit_utilization,net_cashflow_7d,round_number_withdrawal_count_7d,weekend_spend_ratio,net_cashflow_trend_slope,expected_risk_profile
SIM-0029,Kavita Patel,Indore,3,freelancer,25.28,-16.16,11,5010.93,10043.93,8,12487.26,3,18.29,610.49,0.8925,-4765.41,4,0.6533,-496.4187,HIGH
SIM-0030,Amit Kumar,Kolkata,5,other,1.94,11.76,0,1246.38,2388.75,0,601.2,0,0.34,125.15,0.2798,1877.94,1,0.302,326.1981,LOW
SIM-0031,Vikram Malhotra,Nagpur,4,student,0.27,8.78,2,1438.34,1358.52,1,393.97,0,1.74,6.81,0.3,19476.23,1,0.3718,177.1117,LOW
SIM-0032,Amit Bose,Surat,3,freelancer,4.28,-11.17,4,4842.34,4044.75,3,1079.08,1,3.15,460.16,0.5342,1988.19,4,0.5394,-118.7142,MEDIUM
SIM-0033,Amit Sharma,Ahmedabad,3,freelancer,28.06,-27.02,14,7241.6,11016.89,6,9972.35,5,11.23,798.45,0.9825,-9664.43,7,0.6493,-273.4471,HIGH
SIM-0034,Rajan Patel,Hyderabad,0,salaried,1.61,19.93,2,2817.93,379.31,1,222.84,0,0.65,185.4,0.1683,8513.3,0,0.1928,212.8352,LOW
SIM-0035,Mohit Malhotra,Indore,0,salaried,6.27,-11.8,2,5274.47,2348.22,3,2790.48,0,3.91,791.02,0.5291,28.21,3,0.5479,-122.8718,MEDIUM
SIM-0036,Suresh Mehta,Pune,0,salaried,5.9,-4.23,2,5044.71,2521.78,3,1960.79,1,0.91,611.39,0.5882,-1015.01,2,0.3582,-142.9518,MEDIUM
SIM-0037,Arjun Iyer,Indore,1,self-employed,1.06,14.62,1,2379.46,1808.31,1,606.06,0,0.57,28.18,0.0582,14885.9,2,0.3672,226.8958,LOW
SIM-0038,Rahul Mehta,Jaipur,3,freelancer,17.43,-12.59,6,5195.23,7123.4,10,16309.98,2,6.66,1148.13,0.8356,-2105.89,8,0.7711,-326.3161,HIGH
SIM-0039,Suresh Kumar,Surat,0,salaried,1.63,17.2,0,451.26,1207.9,1,356.99,0,1.72,72.1,0.3237,15147.8,2,0.3585,248.0627,LOW
SIM-0040,Priya Iyer,Hyderabad,4,student,0.82,14.91,2,1417.94,458.9,1,504.73,0,0.43,1.67,0.1997,9415.7,2,0.2025,389.0811,LOW
SIM-0041,Amit Verma,Indore,3,freelancer,6.64,-14.15,9,15967.87,7401.27,11,19796.98,5,6.1,4771.4,0.759,-10995.66,5,0.7313,-413.242,HIGH
SIM-0042,Kavita Kumar,Nagpur,3,freelancer,18.0,-39.39,14,22317.55,7288.57,5,4955.13,2,5.47,4211.54,0.8783,-13873.68,9,0.7748,-376.9986,HIGH
SIM-0043,Deepak Singh,Pune,4,student,5.27,1.78,2,3270.91,4177.8,3,4996.94,0,2.72,670.01,0.4179,616.12,2,0.4489,-71.7523,MEDIUM
SIM-0044,Kavita Mehta,Jaipur,0,salaried,3.33,-10.75,5,6045.64,1954.43,2,688.12,0,6.11,264.16,0.6813,-2197.23,1,0.5635,-141.1821,MEDIUM
SIM-0045,Arjun Joshi,Ahmedabad,0,salaried,1.94,14.79,0,2042.62,2129.99,1,878.53,0,1.82,150.36,0.1444,11173.84,1,0.3155,129.163,LOW
SIM-0046,Pooja Desai,Surat,4,student,0.56,18.1,0,1762.24,754.49,0,866.43,0,1.47,178.16,0.137,11902.04,1,0.3131,56.7717,LOW
SIM-0047,Pooja Sharma,Nagpur,1,self-employed,18.24,-29.53,7,22682.82,9934.55,10,4984.08,2,12.45,3546.36,0.9287,-7668.26,5,0.6591,-342.6111,HIGH
SIM-0048,Meera Kumar,Pune,1,self-employed,0.28,17.7,1,2522.32,857.94,1,546.45,0,1.08,55.69,0.374,2854.22,0,0.3569,66.0022,LOW
SIM-0049,Amit Nair,Chandigarh,1,self-employed,3.81,-1.28,2,6323.11,1613.85,3,1655.02,1,3.88,571.49,0.5255,-369.97,3,0.4599,-116.0958,MEDIUM
SIM-0050,Mohit Desai,Nagpur,2,farmer,1.59,-2.39,3,1060.67,3414.45,3,4542.0,0,5.18,376.21,0.4296,791.71,1,0.3962,-96.8283,MEDIUM
SIM-0051,Amit Desai,Pune,3,freelancer,5.31,-1.12,4,4107.78,2301.4,3,2120.31,0,2.15,747.4,0.5893,660.02,2,0.3564,-114.1396,MEDIUM
SIM-0052,Vikram Joshi,Surat,2,farmer,7.36,-19.7,7,13229.31,8727.61,8,9072.13,4,7.38,4728.14,0.9413,-14258.42,9,0.7028,-401.4185,HIGH
SIM-0053,Priya Gupta,Kolkata,5,other,1.2,-14.85,6,7218.65,5260.08,1,972.95,1,1.75,360.85,0.6773,554.81,2,0.5863,-69.2093,MEDIUM
SIM-0054,Deepak Joshi,Kolkata,0,salaried,5.65,-11.21,5,2683.82,4777.68,2,613.21,1,5.18,307.47,0.7492,-2451.9,3,0.5151,-11.3926,MEDIUM
SIM-0055,Arjun Iyer,Lucknow,2,farmer,1.67,8.27,0,477.84,2024.87,1,141.69,0,1.21,123.39,0.282,19344.98,2,0.2541,288.7184,LOW
SIM-0056,Rahul Malhotra,Mumbai,2,farmer,11.81,-15.4,7,14061.01,12403.84,8,6372.18,2,6.38,2916.9,0.7582,-6087.49,9,0.8246,-427.8904,HIGH
SIM-0057,Sneha Khan,Lucknow,5,other,1.63,14.2,0,1746.24,997.71,0,623.29,0,0.3,122.87,0.0749,16806.87,2,0.3214,302.124,LOW
SIM-0058,Anjali Iyer,Chandigarh,0,salaried,6.3,-1.8,4,6924.24,5428.29,3,3508.5,0,6.07,592.24,0.6896,-1239.81,1,0.5049,-37.3327,MEDIUM
SIM-0059,Suresh Rao,Kolkata,4,student,5.59,-7.7,2,3245.27,4507.32,2,4938.96,1,3.82,611.68,0.7007,-882.61,4,0.3666,16.0564,MEDIUM
SIM-0060,Mohit Nair,Chandigarh,2,farmer,7.37,-20.13,7,19998.44,13376.07,11,6270.95,3,18.83,2907.8,0.9825,-6027.93,4,0.7052,-452.9688,HIGH
SIM-0061,Nisha Gupta,Bangalore,3,freelancer,26.96,-18.94,9,24355.07,7935.39,6,3533.27,2,6.98,4808.47,0.8997,-3667.66,6,0.7387,-483.3853,HIGH
SIM-0062,Kavita Gupta,Indore,5,other,0.52,12.28,2,182.41,514.32,0,766.12,0,0.69,120.82,0.1576,9580.09,2,0.3243,205.8419,LOW
SIM-0063,Deepak Rao,Delhi,1,self-employed,1.35,9.82,1,1194.33,1415.15,0,752.5,0,1.85,27.04,0.0906,14977.98,2,0.215,271.1521,LOW
SIM-0064,Vikram Verma,Pune,4,student,0.17,1.72,2,345.22,1258.27,1,296.97,0,1.08,6.96,0.2395,1080.53,0,0.1653,91.6778,LOW
SIM-0065,Arjun Iyer,Surat,0,salaried,9.55,-15.75,10,11630.38,7874.54,11,11932.03,4,14.93,4001.88,0.9208,-7185.68,4,0.5973,-411.3999,HIGH
SIM-0066,Mohit Singh,Bangalore,5,other,1.46,19.8,2,128.27,1006.73,1,947.74,0,0.31,11.19,0.2776,16770.39,1,0.3809,345.9039,LOW
SIM-0067,Meera Rao,Nagpur,2,farmer,2.29,3.51,3,5875.99,3734.09,3,2744.32,0,0.4,590.62,0.7209,1034.0,4,0.5168,10.2101,MEDIUM
SIM-0068,Rahul Gupta,Nagpur,4,student,1.86,12.74,0,2878.34,1339.21,1,929.33,0,0.93,136.27,0.245,1477.38,2,0.3847,248.119,LOW
SIM-0069,Vikram Joshi,Bangalore,5,other,0.19,12.42,2,970.38,2008.12,0,766.51,0,1.73,140.91,0.3685,17464.37,0,0.3905,221.9584,LOW
SIM-0070,Deepak Joshi,Lucknow,0,salaried,0.15,15.24,2,1592.19,1722.59,0,954.8,0,1.87,65.08,0.3297,14908.58,2,0.2374,369.7023,LOW
SIM-0071,Rahul Sharma,Kolkata,3,freelancer,0.86,12.18,2,803.33,1345.57,0,321.52,0,0.18,123.72,0.1472,9529.97,0,0.2658,388.1102,LOW
SIM-0072,Deepak Kumar,Kolkata,4,student,1.65,12.04,0,202.46,1102.69,1,649.35,0,1.34,63.82,0.1277,15408.65,2,0.3984,249.2722,LOW
SIM-0073,Priya Patel,Chandigarh,4,student,4.77,3.96,6,4292.01,1564.32,2,3092.96,1,6.32,651.75,0.55,-571.79,3,0.3733,-26.7292,MEDIUM
SIM-0074,Nisha Rao,Lucknow,1,self-employed,5.19,-0.84,2,1342.74,5179.85,1,4875.26,1,6.27,573.71,0.7434,-77.94,3,0.5518,-14.3215,MEDIUM
SIM-0075,Anjali Bose,Nagpur,3,freelancer,21.55,-36.82,6,17330.34,13493.9,9,10780.12,5,7.85,1844.62,0.7529,-7459.26,4,0.6566,-438.6005,HIGH
SIM-0076,Suresh Kumar,Mumbai,4,student,1.41,8.38,2,2656.59,2251.38,0,905.87,0,0.08,102.2,0.3521,10348.6,2,0.1501,284.5213,LOW
SIM-0077,Nisha Malhotra,Delhi,1,self-employed,1.15,-6.5,2,6934.9,5114.76,2,1353.97,1,5.49,498.39,0.5823,-2790.54,3,0.3794,-78.5585,MEDIUM
SIM-0078,Nisha Malhotra,Mumbai,5,other,0.97,7.74,2,1907.56,584.57,0,458.02,0,1.9,124.12,0.2081,14275.27,2,0.1615,106.3424,LOW
SIM-0079,Meera Verma,Indore,2,farmer,1.92,-6.47,6,5360.55,2304.83,1,3451.72,0,5.57,315.53,0.7409,-2493.79,1,0.3535,17.4434,MEDIUM
SIM-0080,Mohit Verma,Delhi,3,freelancer,0.63,17.65,2,2837.64,278.55,1,84.7,0,1.74,144.01,0.0718,8413.73,2,0.3298,71.8412,LOW
SIM-0081,Sneha Nair,Mumbai,1,self-employed,1.97,-5.65,5,7254.49,3581.34,2,1409.93,1,3.3,311.12,0.4713,752.16,1,0.4824,31.9702,MEDIUM
SIM-0082,Priya Sharma,Chandigarh,5,other,3.49,-10.09,3,4076.92,2503.42,1,3022.06,0,5.6,724.81,0.7325,1220.44,3,0.5116,-145.6938,MEDIUM
SIM-0083,Arjun Kumar,Jaipur,4,student,1.71,18.07,2,1596.65,1449.86,0,120.36,0,1.46,144.49,0.3857,12685.05,2,0.3976,292.5451,LOW
SIM-0084,Deepak Joshi,Ahmedabad,2,farmer,6.31,-10.23,5,7276.67,5289.55,1,3471.88,0,2.89,229.17,0.5019,1201.29,3,0.4597,-42.8215,MEDIUM
SIM-0085,Sneha Iyer,Chennai,0,salaried,0.57,3.61,1,759.42,775.76,0,828.71,0,1.44,157.3,0.0787,2582.95,1,0.2115,185.9439,LOW
SIM-0086,Arjun Nair,Hyderabad,2,farmer,27.02,-34.14,11,7062.77,14879.33,9,18815.34,2,13.98,1016.64,0.9321,-4482.8,6,0.5778,-423.1561,HIGH
SIM-0087,Meera Mehta,Bangalore,5,other,1.1,7.32,2,2365.64,1737.16,1,296.58,0,0.03,58.14,0.0804,8503.2,2,0.1958,371.0556,LOW
SIM-0088,Meera Verma,Nagpur,5,other,13.9,-39.64,10,5170.28,13488.39,3,14382.74,3,9.84,4535.91,0.7913,-11665.92,8,0.675,-473.8571,HIGH
SIM-0089,Priya Kumar,Kolkata,0,salaried,29.26,-35.21,11,18357.69,6052.1,10,17524.32,2,18.96,948.5,0.7669,-7692.1,5,0.6452,-191.7737,HIGH
SIM-0090,Suresh Sharma,Jaipur,5,other,26.9,-13.71,9,10480.78,7925.4,7,17689.81,5,16.4,1689.11,0.8541,-11349.91,4,0.84,-172.9183,HIGH
SIM-0091,Rahul Mehta,Delhi,4,student,4.28,4.52,5,6124.65,3874.28,2,3023.09,1,0.7,93.51,0.6779,-1003.51,3,0.5401,-24.2711,MEDIUM
SIM-0092,Suresh Rao,Nagpur,2,farmer,22.92,-37.21,11,16471.45,8081.94,10,6986.7,4,8.11,3034.52,0.8159,-13386.56,7,0.6527,-242.1152,HIGH
SIM-0093,Priya Kumar,Jaipur,5,other,2.09,4.28,6,7410.57,2486.38,3,528.73,1,3.98,327.93,0.6372,108.12,2,0.4786,-119.9794,MEDIUM
SIM-0094,Amit Bose,Lucknow,3,freelancer,0.49,5.69,2,194.38,2104.0,1,282.64,0,1.38,84.43,0.1258,5083.76,1,0.375,130.6767,LOW
SIM-0095,Vikram Gupta,Delhi,4,student,6.11,-13.22,6,6040.62,4814.92,2,4907.34,0,2.89,705.43,0.4633,-2482.95,3,0.4893,-113.192,MEDIUM
SIM-0096,Vikram Gupta,Hyderabad,4,student,1.71,16.74,0,75.6,234.74,0,248.72,0,0.02,78.23,0.056,3909.7,2,0.3271,241.0295,LOW
SIM-0097,Sneha Khan,Chandigarh,3,freelancer,13.21,-27.59,9,21901.72,8740.08,4,13783.52,2,18.01,3037.87,0.8973,-14294.19,7,0.7061,-173.2038,HIGH
SIM-0098,Deepak Malhotra,Hyderabad,3,freelancer,4.76,3.94,6,5196.09,5798.23,1,4657.23,0,5.92,40.78,0.4324,-543.11,1,0.4758,-147.4745,MEDIUM
SIM-0099,Rahul Desai,Lucknow,0,salaried,4.07,-12.53,5,1356.46,3264.96,2,2913.18,1,3.73,683.19,0.4248,-629.33,4,0.4741,-108.4574,MEDIUM
SIM-0100,Sneha Kumar,Bangalore,5,other,5.0,4.84,2,2661.97,5990.11,1,1907.17,0,1.79,333.16,0.4229,-445.03,4,0.4227,-131.4186,MEDIUM
SIM-0101,Rahul Gupta,Surat,4,student,1.94,14.5,1,167.03,937.74,0,431.18,0,0.44,61.8,0.2052,3567.16,1,0.2042,339.5255,LOW
SIM-0102,Meera Sharma,Ahmedabad,1,self-employed,16.26,-24.48,7,24198.48,9605.23,6,7672.1,2,9.61,4130.09,0.9875,-10196.72,9,0.7763,-400.1734,HIGH
SIM-0103,Priya Joshi,Chennai,1,self-employed,0.37,7.09,1,479.68,827.9,1,96.39,0,0.99,98.52,0.1526,19246.56,0,0.3355,216.1796,LOW
SIM-0104,Amit Singh,Chandigarh,0,salaried,0.54,8.54,0,1467.91,371.22,0,966.98,0,1.77,179.91,0.3515,12087.05,2,0.3407,350.1179,LOW
SIM-0105,Sneha Bose,Hyderabad,0,salaried,13.01,-37.43,7,23833.4,6354.68,3,6184.62,3,7.1,4025.91,0.9544,-11878.59,8,0.561,-167.2303,HIGH
SIM-0106,Sneha Patel,Hyderabad,2,farmer,0.05,15.73,1,1941.44,1307.91,0,873.35,0,0.45,32.18,0.1581,3054.48,2,0.3794,111.1318,LOW
SIM-0107,Meera Desai,Lucknow,3,freelancer,0.4,5.37,0,1504.64,281.12,1,682.49,0,1.79,43.56,0.3102,2219.16,2,0.2653,280.496,LOW
SIM-0108,Kavita Malhotra,Jaipur,5,other,0.12,2.01,2,571.87,1275.85,0,901.24,0,1.41,81.69,0.1761,10940.31,2,0.3476,133.7326,LOW
SIM-0109,Pooja Rao,Nagpur,4,student,0.98,18.21,2,2586.31,887.96,0,794.95,0,0.0,179.54,0.1257,19442.66,2,0.3494,399.5667,LOW
SIM-0110,Amit Rao,Hyderabad,4,student,8.94,-39.32,13,24201.24,4681.01,7,9290.95,3,16.64,1855.71,0.9085,-6993.06,8,0.5745,-458.5023,HIGH
SIM-0111,Vikram Mehta,Pune,5,other,1.73,19.47,2,1315.19,2268.92,0,520.37,0,1.12,152.6,0.2391,17315.28,0,0.3341,96.4722,LOW
SIM-0112,Mohit Gupta,Chandigarh,2,farmer,29.03,-22.27,8,24417.75,7641.05,7,17014.81,4,17.34,2475.62,0.7895,-8614.77,8,0.696,-313.0192,HIGH
SIM-0113,Priya Mehta,Bangalore,5,other,4.45,-5.86,6,6320.96,1599.31,2,3476.84,0,4.75,485.3,0.6526,849.98,1,0.3836,-118.9557,MEDIUM
SIM-0114,Mohit Desai,Surat,2,farmer,6.05,-2.41,3,6695.65,5655.79,3,2181.73,1,0.04,792.78,0.4636,454.72,4,0.5517,-60.4041,MEDIUM
SIM-0115,Suresh Patel,Pune,3,freelancer,1.66,17.95,0,1039.96,1515.04,0,2.56,0,0.97,73.95,0.1952,12676.59,2,0.1615,241.4621,LOW
SIM-0116,Suresh Bose,Bangalore,3,freelancer,0.04,5.68,2,1708.89,327.83,1,791.28,0,1.33,112.75,0.3252,16809.13,1,0.1901,89.0321,LOW
SIM-0117,Deepak Singh,Hyderabad,5,other,28.0,-29.0,6,21116.59,6181.15,9,5394.88,2,7.83,3245.51,0.945,-9751.22,3,0.686,-239.2387,HIGH
SIM-0118,Meera Rao,Jaipur,0,salaried,14.56,-20.04,9,6933.27,6068.91,8,9974.05,3,8.58,3490.48,0.9672,-6039.19,6,0.7595,-263.0906,HIGH
SIM-0119,Sneha Malhotra,Indore,5,other,6.53,-27.92,13,22331.67,5138.06,3,7709.94,3,7.71,3990.53,0.7931,-7799.62,7,0.7338,-298.1117,HIGH
SIM-0120,Priya Nair,Chandigarh,5,other,4.64,-11.97,4,3194.79,3260.38,2,2830.7,0,2.14,511.24,0.4618,-2063.52,4,0.5706,-53.4012,MEDIUM
SIM-0121,Kavita Patel,Hyderabad,4,student,3.39,-13.23,2,6780.04,1668.5,2,4146.85,0,5.05,391.69,0.6365,1937.67,2,0.4495,-42.304,MEDIUM
SIM-0122,Meera Mehta,Nagpur,4,student,1.3,16.58,0,2188.45,2109.84,0,358.72,0,1.21,99.22,0.2213,6763.26,2,0.3845,108.2062,LOW
SIM-0123,Suresh Patel,Pune,1,self-employed,1.84,4.04,1,275.55,2415.38,1,903.02,0,0.29,184.62,0.271,18045.65,1,0.2209,218.4451,LOW
SIM-0124,Rajan Rao,Indore,2,farmer,1.06,17.42,2,2629.8,2292.19,0,403.16,0,1.11,95.06,0.3653,3408.41,1,0.2771,200.4607,LOW
SIM-0125,Anjali Singh,Indore,3,freelancer,4.63,-13.04,2,2309.42,4061.63,1,881.08,1,1.01,206.66,0.6131,1386.37,1,0.5552,-70.7269,MEDIUM
SIM-0126,Pooja Singh,Delhi,2,farmer,1.4,11.35,2,1005.66,1563.86,1,738.8,0,0.78,176.71,0.0883,7996.72,2,0.2215,81.1652,LOW
SIM-0127,Suresh Kumar,Pune,1,self-employed,24.91,-35.74,14,13542.44,6987.76,11,14350.05,2,6.19,2586.11,0.9737,-13932.02,3,0.5708,-348.51,HIGH
SIM-0128,Vikram Nair,Jaipur,0,salaried,1.69,18.77,1,1546.0,1011.71,1,920.19,0,0.97,193.81,0.1972,11912.4,2,0.2571,313.5328,LOW
SIM-0129,Kavita Desai,Surat,1,self-employed,3.59,-13.99,4,1449.69,2037.3,1,4551.58,1,3.01,65.35,0.5103,1985.58,3,0.3925,-132.0534,MEDIUM
SIM-0130,Kavita Malhotra,Mumbai,0,salaried,6.5,-4.58,2,3376.78,3312.31,3,837.56,1,1.98,472.81,0.474,-1623.06,4,0.5483,14.9667,MEDIUM
SIM-0131,Suresh Patel,Chennai,5,other,28.56,-34.19,8,17577.54,4905.63,4,4570.08,5,6.19,3484.4,0.9793,-4774.22,7,0.5508,-286.35,HIGH
SIM-0132,Sneha Nair,Bangalore,5,other,2.74,-9.84,5,4117.61,4219.03,2,2264.57,0,3.2,774.95,0.6826,-2549.06,2,0.597,-115.8988,MEDIUM
SIM-0133,Deepak Khan,Bangalore,1,self-employed,1.35,16.66,1,999.82,1536.98,1,345.1,0,0.88,168.66,0.3854,17717.88,2,0.3759,302.2337,LOW
SIM-0134,Mohit Mehta,Nagpur,5,other,1.53,6.66,0,1240.1,1102.46,0,975.55,0,0.56,160.1,0.1336,11094.42,1,0.3547,107.0819,LOW
SIM-0135,Rahul Singh,Hyderabad,3,freelancer,0.36,10.17,1,329.36,1977.74,1,393.05,0,1.35,59.19,0.1157,10798.45,2,0.168,350.7541,LOW
SIM-0136,Mohit Iyer,Mumbai,2,farmer,6.96,-14.23,4,6886.41,5658.32,1,1454.23,0,5.32,196.71,0.5851,-1767.81,4,0.5197,-65.37,MEDIUM
SIM-0137,Suresh Patel,Ahmedabad,2,farmer,6.25,-34.13,11,14227.54,11967.3,4,15245.79,3,17.64,2770.72,0.9785,-10783.09,4,0.6676,-216.057,HIGH
SIM-0138,Pooja Mehta,Lucknow,3,freelancer,6.56,-29.53,13,22716.39,9766.29,5,7459.97,3,19.9,1487.24,0.7823,-3491.26,7,0.7306,-242.0923,HIGH
SIM-0139,Rahul Verma,Ahmedabad,0,salaried,1.98,11.05,0,2349.31,1717.37,0,107.21,0,0.52,190.07,0.0546,5231.69,1,0.2942,282.2814,LOW
SIM-0140,Rahul Malhotra,Kolkata,3,freelancer,6.47,0.9,3,4427.14,4631.91,1,2721.08,1,0.91,621.09,0.5387,-1804.83,1,0.4848,-82.0315,MEDIUM
SIM-0141,Amit Malhotra,Indore,4,student,19.36,-28.73,9,9572.86,11247.46,10,8279.15,3,13.05,1950.68,0.7633,-5412.54,9,0.6847,-340.0146,HIGH
SIM-0142,Rajan Nair,Surat,0,salaried,0.78,17.74,2,1036.79,1426.34,1,34.0,0,1.46,76.74,0.2435,13271.22,2,0.174,212.6708,LOW
SIM-0143,Arjun Patel,Kolkata,3,freelancer,1.56,11.65,0,229.08,1611.28,0,302.77,0,0.67,9.68,0.2785,10021.31,1,0.1739,82.6556,LOW
SIM-0144,Pooja Malhotra,Chandigarh,0,salaried,1.34,-7.55,6,2141.02,3688.99,2,667.79,1,3.81,325.32,0.5122,682.72,1,0.3897,31.3256,MEDIUM
SIM-0145,Rahul Sharma,Kolkata,2,farmer,5.59,3.91,6,5819.57,4665.34,1,1117.27,0,2.68,365.21,0.5176,-1949.15,3,0.4433,7.5696,MEDIUM
SIM-0146,Anjali Khan,Chandigarh,4,student,2.82,-6.0,3,6947.79,3604.64,1,3841.57,0,6.05,697.77,0.6233,166.71,3,0.401,-139.6285,MEDIUM
SIM-0147,Arjun Singh,Bangalore,2,farmer,0.04,14.91,1,939.89,202.69,0,2.82,0,1.25,59.52,0.3646,17065.6,2,0.3378,164.1195,LOW
SIM-0148,Anjali Nair,Delhi,5,other,0.52,2.62,1,1490.75,2195.58,1,659.13,0,0.27,13.18,0.3999,3153.39,2,0.2264,305.9556,LOW
